Date,Sec1,Sec2,Sec3,Sec4,Sec5,Sec6,Sec7,Sec8,Sec9,Sec10,,B1
2019-05-30,-0.003,-0.002,0.004,0.007,0.002,0.004,0.005,0.006,-0.013,0.001,,0.003
2019-05-31,-0.015,0.005,-0.014,-0.013,-0.011,-0.014,-0.007,-0.017,-0.018,-0.012,,-0.013
2019-06-03,0.007,0.01,0.013,-0.008,0.031,0.007,0.002,-0.018,0.013,0.006,,-0.003
2019-06-04,0.027,0.001,0.009,0.027,0.028,0.024,0.017,0.033,0.017,0.02,,0.022
2019-06-05,0.006,0.021,0.011,0.005,0.007,0.01,0.008,0.013,-0.011,0.008,,0.009
2019-06-06,0.004,0.006,0.01,0.005,0.012,0.002,0.005,0.012,0.019,0.008,,0.007
2019-06-07,-0.001,-0.007,0.01,0.014,0.009,0.008,0.01,0.019,0.005,0.007,,0.01
2019-06-10,0.008,-0.007,0,0.008,0.002,0.001,0.003,0.01,0.003,0.003,,0.005
2019-06-11,0,-0.006,0.003,0.004,-0.001,-0.009,-0.002,0,0.002,-0.001,,0
2019-06-12,-0.01,0.013,0.002,0,0.003,0.002,0.005,-0.006,-0.014,-0.001,,-0.002
2019-06-13,0.003,0.002,0.002,0.009,0.006,0.005,-0.001,0.003,0.012,0.005,,0.004
2019-06-14,0.002,0.01,0.001,0.002,-0.004,-0.004,-0.002,-0.009,-0.007,-0.001,,-0.001
2019-06-17,-0.009,-0.003,-0.003,0,-0.009,-0.003,0.004,0.001,0.008,-0.001,,0
2019-06-18,0.013,-0.004,-0.005,0.008,0.008,0.019,0.009,0.018,0.014,0.009,,0.01
2019-06-19,-0.002,0.008,0.004,0.002,-0.006,-0.001,0.009,0.004,-0.001,0.002,,0.002
2019-06-20,0.004,0.006,0.009,0.007,0.013,0.017,0.004,0.015,0.022,0.011,,0.01
2019-06-21,-0.002,0.004,-0.003,-0.005,-0.003,-0.005,0.005,-0.005,0.007,-0.001,,-0.001
2019-06-24,-0.004,0,0.003,-0.005,0.004,-0.002,-0.005,0.002,-0.009,-0.002,,-0.001
2019-06-25,-0.003,-0.006,-0.001,-0.01,0.001,-0.008,-0.004,-0.018,-0.008,-0.006,,-0.01
2019-06-26,-0.002,-0.022,-0.014,0.003,-0.002,0.002,-0.013,0.011,0.015,-0.002,,-0.001
2019-06-27,0.009,0.001,0.002,0.006,0.003,0.001,0.007,0.003,-0.007,0.003,,0.004
2019-06-28,0.014,0.004,-0.001,0.003,0.008,0.011,0.003,0,0.012,0.006,,0.005
2019-07-01,0.012,-0.003,0.006,0.009,0.008,0.001,0.005,0.016,0.001,0.006,,0.009
2019-07-02,-0.003,0.014,0.009,0.002,-0.001,-0.001,0.005,0.003,-0.016,0.001,,0.003
2019-07-03,0.008,0.007,0.012,0.009,0.005,0.006,0.009,0.008,0.004,0.007,,0.008
2019-07-05,0.003,0,-0.004,0.001,-0.005,-0.004,-0.007,-0.002,0.001,-0.002,,-0.001
2019-07-08,-0.005,0.001,0.001,0.001,-0.012,-0.008,-0.007,-0.008,0.001,-0.004,,-0.005
2019-07-09,0.002,0.001,-0.006,0.001,-0.01,-0.002,0.001,0.004,0.001,-0.001,,0.001
2019-07-10,-0.004,0.002,0.006,0.004,-0.002,-0.002,0.003,0.008,0.013,0.003,,0.005
2019-07-11,0.006,0,0.003,0.002,0.004,0.007,0,0.004,0.002,0.003,,0.002
2019-07-12,0.007,-0.007,0.003,0.011,0.01,0.018,-0.011,0.007,0.004,0.005,,0.004
